,Unnamed: 0,cve,owner,repo,patch,reserve_idx_diff,publish_idx_diff,reserve_time,publish_time
45,121,CVE-2011-4356,celery,celery,53514b158b743678d8993638be5920cd09ccc35c,74,-111,2011-11-04T00:00:00+00:00,2011-12-05T11:00:00+00:00
48,125,CVE-2011-4905,apache,activemq,3a71f8e33d0309cb0ca5b5758a8f251da205e757,-34,-46,2011-12-23T00:00:00+00:00,2012-01-05T16:00:00+00:00
49,126,CVE-2011-4905,apache,activemq,9df9d3e89140b7329654ad5675259ec6f0c4b3a7,-26,-38,2011-12-23T00:00:00+00:00,2012-01-05T16:00:00+00:00
50,127,CVE-2011-4905,apache,activemq,da7f9962c640666a743675085922bf75a656f81b,-33,-45,2011-12-23T00:00:00+00:00,2012-01-05T16:00:00+00:00
53,130,CVE-2011-4952,cobbler,cobbler,18eb1c06779b37d89dfb2962a08236dd1bab24a6,-81,-3249,2011-12-23T00:00:00+00:00,2019-11-19T15:29:47+00:00
54,131,CVE-2011-4952,cobbler,cobbler,4bee30b4086a8d845bea5d39d6f2cba1f4a396aa,-89,-3257,2011-12-23T00:00:00+00:00,2019-11-19T15:29:47+00:00
55,132,CVE-2011-4953,cobbler,cobbler,1b4f9ecf051422eb8512794701900f6199651442,-79,-2119,2011-12-23T00:00:00+00:00,2014-10-27T01:00:00+00:00
56,133,CVE-2011-4969,jquery,jquery,db9e023e62c1ff5d8f21ed9868ab6878da2005e9,-308,-1423,2011-12-23T00:00:00+00:00,2013-03-08T22:00:00+00:00
60,139,CVE-2012-0213,apache,poi,25bc679244188d63de690354db0e3f301291e252,302,119,2011-12-14T00:00:00+00:00,2012-08-07T21:00:00+00:00
61,140,CVE-2012-0215,tryton,trytond,d059ebb792401ded3129cd9402d7392dc34b81e3,208,-185,2011-12-14T00:00:00+00:00,2012-07-12T20:00:00+00:00
62,141,CVE-2012-0391,apache,struts,5f54b8d087f5125d96838aafa5f64c2190e6885b,-74,-74,2012-01-08T00:00:00+00:00,2012-01-08T15:00:00+00:00
63,142,CVE-2012-0391,apache,struts,b4265d369dc29d57a9f2846a85b26598e83f3892,-72,-72,2012-01-08T00:00:00+00:00,2012-01-08T15:00:00+00:00
64,143,CVE-2012-0393,apache,struts,9cad25f258bb2629d263f828574d2671366c238d,-4,-4,2012-01-08T00:00:00+00:00,2012-01-08T15:00:00+00:00
65,144,CVE-2012-0394,apache,struts,9cad25f258bb2629d263f828574d2671366c238d,-4,-4,2012-01-08T00:00:00+00:00,2012-01-08T15:00:00+00:00
66,145,CVE-2012-0805,sqlalchemy,sqlalchemy,51fea2e159ca93daa0bc8066a5c35d8436d99418,-425,-690,2012-01-19T00:00:00+00:00,2012-06-05T22:00:00+00:00
67,146,CVE-2012-0838,apache,struts,5f54b8d087f5125d96838aafa5f64c2190e6885b,-79,-96,2012-01-19T00:00:00+00:00,2012-03-02T22:00:00+00:00
68,147,CVE-2012-0838,apache,struts,b4265d369dc29d57a9f2846a85b26598e83f3892,-77,-94,2012-01-19T00:00:00+00:00,2012-03-02T22:00:00+00:00
69,148,CVE-2012-0878,cdent,pastescript,b5f36f2995e1ae117cc53d2bd458d7fb33e4cabe,2,-1,2012-01-19T00:00:00+00:00,2012-05-01T19:00:00+00:00
70,149,CVE-2012-0881,apache,xerces2-j,992b5d9c24102ad20330d36c0a71162753a37449,9,-59,2012-01-19T00:00:00+00:00,2017-10-30T16:00:00+00:00
88,167,CVE-2012-2238,tryton,trytond,4509595762da0c08fdf182e2bdf952cbbe300667,178,-1975,2012-04-16T00:00:00+00:00,2019-11-21T13:47:31+00:00
89,168,CVE-2012-2238,tryton,trytond,96cd5d58ea82fb746b42dc2ebde9b8f531368d53,177,-1976,2012-04-16T00:00:00+00:00,2019-11-21T13:47:31+00:00
90,169,CVE-2012-2374,tornadoweb,tornado,1ae91f6d58e6257e0ab49d295d8741ce1727bdb7,9,-40,2012-04-19T00:00:00+00:00,2012-05-23T20:00:00+00:00
92,171,CVE-2012-2395,cobbler,cobbler,6d9167e5da44eca56bdf42b5776097a6779aaadf,39,-74,2012-04-19T00:00:00+00:00,2012-06-16T00:00:00+00:00
103,188,CVE-2012-4387,apache,struts,80e03182d66d9e6ab18f9a9a9b3c42725a1c89e9,-1,-8,2012-08-21T00:00:00+00:00,2012-09-05T23:00:00+00:00
104,189,CVE-2012-4404,moinwiki,moin,b7791166cb3613d07c6e8eea966b4f763b2de660,49,-10,2012-08-21T00:00:00+00:00,2012-09-10T22:00:00+00:00
112,201,CVE-2012-5370,jruby,jruby,5e4aab28b26fd127112b76fabfac9a33b64caf77,241,-67,2012-10-10T00:00:00+00:00,2012-11-28T11:00:00+00:00
113,203,CVE-2012-5488,plone,Products.CMFPlone,a9479a5b38646fe0b0a9066ee46de9c18de32bfa,37,-824,2012-10-24T00:00:00+00:00,2014-09-30T14:00:00+00:00
114,204,CVE-2012-5497,plone,Products.CMFPlone,a9479a5b38646fe0b0a9066ee46de9c18de32bfa,37,-824,2012-10-24T00:00:00+00:00,2014-09-30T14:00:00+00:00
119,211,CVE-2012-6092,apache,activemq,51eb87a84be88d28383ea48f6e341ffe1203c5ba,-200,-638,2012-12-06T00:00:00+00:00,2013-04-21T21:00:00+00:00
122,216,CVE-2012-6551,apache,activemq,22bc55b9487df98a3c3cb04f99f4618fcba364fe,-399,-399,2013-04-21T00:00:00+00:00,2013-04-21T21:00:00+00:00
123,217,CVE-2012-6551,apache,activemq,437ea2f6e58d18837ae0e68dcd2fdadc1fff3723,-567,-567,2013-04-21T00:00:00+00:00,2013-04-21T21:00:00+00:00
124,218,CVE-2012-6551,apache,activemq,ced33d2551a040813cb40bd6d36fdd322034fa73,-572,-572,2013-04-21T00:00:00+00:00,2013-04-21T21:00:00+00:00
125,219,CVE-2012-6612,apache,lucene-solr,0d21b900975b7048d2e925d852aeacb9bdc6766c,-3622,-3627,2013-12-07T00:00:00+00:00,2013-12-07T21:00:00+00:00
126,220,CVE-2012-6612,apache,lucene-solr,f230486ce6707762c1a6e81655d0fac52887906d,-3623,-3628,2013-12-07T00:00:00+00:00,2013-12-07T21:00:00+00:00
127,221,CVE-2012-6662,jquery,jquery-ui,5fee6fd5000072ff32f2d65b6451f39af9e0e39e,-1050,-1051,2014-11-14T00:00:00+00:00,2014-11-24T16:00:00+00:00
128,222,CVE-2012-6662,jquery,jquery-ui,f2854408cce7e4b7fc6bf8676761904af9c96bde,-1049,-1050,2014-11-14T00:00:00+00:00,2014-11-24T16:00:00+00:00
129,223,CVE-2012-6708,jquery,jquery,05531fc4080ae24070930d15ae0cea7ae056457d,-1999,-2000,2018-01-18T00:00:00+00:00,2018-01-18T23:00:00+00:00
130,224,CVE-2013-0158,jenkinsci,jenkins,3dc13b957b14cec649036e8dd517f0f9cb21fb04,133,-249,2012-12-06T00:00:00+00:00,2013-02-24T22:00:00+00:00
131,225,CVE-2013-0158,jenkinsci,jenkins,4895eaafca468b7f0f1a3166b2fca7414f0d5da5,116,-266,2012-12-06T00:00:00+00:00,2013-02-24T22:00:00+00:00
132,226,CVE-2013-0158,jenkinsci,jenkins,94a8789b699132dd706021a6be1b78bc47f19602,134,-248,2012-12-06T00:00:00+00:00,2013-02-24T22:00:00+00:00
133,227,CVE-2013-0158,jenkinsci,jenkins,a9aff088f327278a8873aef47fa8f80d3c5932fd,108,-274,2012-12-06T00:00:00+00:00,2013-02-24T22:00:00+00:00
134,228,CVE-2013-0158,jenkinsci,jenkins,c3d8e05a1b3d58b6c4dcff97394cb3a79608b4b2,131,-251,2012-12-06T00:00:00+00:00,2013-02-24T22:00:00+00:00
141,240,CVE-2013-1879,apache,activemq,148ca81dcd8f14cfe2ff37012fd1aa42518f02dc,63,-279,2013-02-19T00:00:00+00:00,2013-07-18T01:00:00+00:00
142,241,CVE-2013-1880,apache,activemq,fafd12dfd4f71336f8e32c090d40ed1445959b40,64,-816,2013-02-19T00:00:00+00:00,2014-02-05T18:00:00+00:00
144,243,CVE-2013-1965,apache,struts,7e6f641ebb142663cbd1653dc49bed725edf7f56,80,-68,2013-02-19T00:00:00+00:00,2013-07-10T19:00:00+00:00
145,244,CVE-2013-1966,apache,struts,7e6f641ebb142663cbd1653dc49bed725edf7f56,80,-68,2013-02-19T00:00:00+00:00,2013-07-10T19:00:00+00:00
147,248,CVE-2013-2022,happyworm,jPlayer,c5fe17bb4459164bd59153b57248cf94b8867373,6,-30,2013-02-19T00:00:00+00:00,2013-08-17T16:00:00+00:00
148,249,CVE-2013-2027,jython,frozen-mirror,053949e66d307168fd70b39725f4d3e6b642acc1,1259,735,2013-02-19T00:00:00+00:00,2015-02-13T15:00:00+00:00
152,254,CVE-2013-2115,apache,struts,d934c6e7430b7b98e43a0a085a2304bd31a75c3d,115,-33,2013-02-19T00:00:00+00:00,2013-07-10T19:00:00+00:00
153,255,CVE-2013-2134,apache,struts,041206d2a693d02c0cb2e72765275e55ba14049f,126,-37,2013-02-19T00:00:00+00:00,2013-07-16T18:00:00+00:00
154,256,CVE-2013-2134,apache,struts,711cf0201cdd319a38cf29238913312355db29ba,125,-38,2013-02-19T00:00:00+00:00,2013-07-16T18:00:00+00:00
155,257,CVE-2013-2135,apache,struts,041206d2a693d02c0cb2e72765275e55ba14049f,126,-37,2013-02-19T00:00:00+00:00,2013-07-16T18:00:00+00:00
156,258,CVE-2013-2135,apache,struts,711cf0201cdd319a38cf29238913312355db29ba,125,-38,2013-02-19T00:00:00+00:00,2013-07-16T18:00:00+00:00
160,262,CVE-2013-2186,apache,commons-fileupload,163a6061fbc077d4b6e4787d26857c2baba495d1,348,-3,2013-02-19T00:00:00+00:00,2013-10-28T21:00:00+00:00
162,265,CVE-2013-2248,apache,struts,630e1ba065a8215c4e9ac03bfb09be9d655c2b6e,158,-7,2013-02-19T00:00:00+00:00,2013-07-18T01:00:00+00:00
163,266,CVE-2013-2251,apache,struts,630e1ba065a8215c4e9ac03bfb09be9d655c2b6e,158,-7,2013-02-19T00:00:00+00:00,2013-07-18T01:00:00+00:00
165,268,CVE-2013-3060,apache,activemq,22bc55b9487df98a3c3cb04f99f4618fcba364fe,-395,-399,2013-04-15T00:00:00+00:00,2013-04-21T21:00:00+00:00
166,269,CVE-2013-3060,apache,activemq,437ea2f6e58d18837ae0e68dcd2fdadc1fff3723,-563,-567,2013-04-15T00:00:00+00:00,2013-04-21T21:00:00+00:00
167,270,CVE-2013-3060,apache,activemq,ced33d2551a040813cb40bd6d36fdd322034fa73,-568,-572,2013-04-15T00:00:00+00:00,2013-04-21T21:00:00+00:00
173,282,CVE-2013-4316,apache,struts,c643336945dda84cbcdc8a39530baa24fede28c4,86,-2,2013-06-12T00:00:00+00:00,2013-09-30T21:00:00+00:00
182,305,CVE-2013-6397,apache,lucene-solr,da34b18cb3092df4972e2b6fa5178d1059923910,-265,-559,2013-11-04T00:00:00+00:00,2013-12-07T20:00:00+00:00
183,306,CVE-2013-6407,apache,lucene-solr,f230486ce6707762c1a6e81655d0fac52887906d,-3334,-3628,2013-11-04T00:00:00+00:00,2013-12-07T20:00:00+00:00
184,307,CVE-2013-6408,apache,lucene-solr,7239a57a51ea0f4d05dd330ce5e15e4f72f72747,-1013,-1307,2013-11-04T00:00:00+00:00,2013-12-07T20:00:00+00:00
185,308,CVE-2013-6418,pywbem,pywbem,f7599379b26a685d772b2620a16316130f46c474,1,-2,2013-11-04T00:00:00+00:00,2014-05-05T17:00:00+00:00
188,313,CVE-2013-6444,pywbem,pywbem,f7599379b26a685d772b2620a16316130f46c474,1,-2,2013-11-04T00:00:00+00:00,2014-05-05T17:00:00+00:00
191,316,CVE-2013-7110,transifex,transifex-client,e0d1f8b38ec1a24e2999d63420554d8393206f58,-25,-44,2013-12-15T00:00:00+00:00,2014-05-02T01:00:00+00:00
193,319,CVE-2013-7330,jenkinsci,jenkins,36342d71e29e0620f803a7470ce96c61761648d8,-2219,-3618,2014-02-20T00:00:00+00:00,2014-10-17T15:00:00+00:00
194,324,CVE-2013-7378,github,hubot-scripts,feee5abdb038a229a98969ae443cdb8a61747782,-806,-1090,2014-05-14T00:00:00+00:00,2020-02-12T13:59:50+00:00
200,332,CVE-2014-0050,apache,commons-fileupload,c61ff05b3241cb14d989b67209e57aa71540417a,4,-56,2013-12-03T00:00:00+00:00,2014-03-28T19:00:00+00:00
202,339,CVE-2014-0094,apache,struts,2e2da292166adbc78c4cb1e308b30ddb4fba6d3f,162,63,2013-12-03T00:00:00+00:00,2014-03-10T14:00:00+00:00
203,340,CVE-2014-0094,apache,struts,6315241719be167542962da436b38782ed730c62,163,64,2013-12-03T00:00:00+00:00,2014-03-10T14:00:00+00:00
205,350,CVE-2014-0116,apache,struts,1a668af7f1ffccea4a3b46d8d8c1fe1c7331ff02,184,-24,2013-12-03T00:00:00+00:00,2014-05-08T10:00:00+00:00
224,383,CVE-2014-1858,numpy,numpy,0bb46c1448b0d3f5453d5182a17ea7ac5854ee15,3,-5862,2014-02-03T00:00:00+00:00,2018-01-08T19:00:00+00:00
225,384,CVE-2014-1859,numpy,numpy,0bb46c1448b0d3f5453d5182a17ea7ac5854ee15,3,-5862,2014-02-03T00:00:00+00:00,2018-01-08T19:00:00+00:00
227,388,CVE-2014-2058,jenkinsci,jenkins,b6b2a367a7976be80a799c6a49fa6c58d778b50e,-40,-1440,2014-02-19T00:00:00+00:00,2014-10-17T15:00:00+00:00
228,389,CVE-2014-2059,jenkinsci,jenkins,ad38d8480f20ce3cbf8fec3e2003bc83efda4f7d,-63,-117,2014-02-19T00:00:00+00:00,2014-02-28T17:00:00+00:00
229,390,CVE-2014-2061,jenkinsci,jenkins,bf539198564a1108b7b71a973bf7de963a6213ef,-54,-1454,2014-02-19T00:00:00+00:00,2014-10-17T15:00:00+00:00
230,391,CVE-2014-2062,jenkinsci,jenkins,5548b5220cfd496831b5721124189ff18fbb12a3,-59,-1459,2014-02-19T00:00:00+00:00,2014-10-17T15:00:00+00:00
231,392,CVE-2014-2064,jenkinsci,jenkins,fbf96734470caba9364f04e0b77b0bae7293a1ec,-56,-1456,2014-02-19T00:00:00+00:00,2014-10-17T15:00:00+00:00
232,393,CVE-2014-2065,jenkinsci,jenkins,a0b00508eeb74d7033dc4100eb382df4e8fa72e7,-57,-1457,2014-02-19T00:00:00+00:00,2014-10-17T15:00:00+00:00
233,394,CVE-2014-2066,jenkinsci,jenkins,8ac74c350779921598f9d5edfed39dd35de8842a,-1439,-2839,2014-02-19T00:00:00+00:00,2014-10-17T15:00:00+00:00
234,395,CVE-2014-2067,jenkinsci,jenkins,5d57c855f3147bfc5e7fda9252317b428a700014,-58,-112,2014-02-19T00:00:00+00:00,2014-02-28T17:00:00+00:00
235,396,CVE-2014-2068,jenkinsci,jenkins,0530a6645aac10fec005614211660e98db44b5eb,-60,-1460,2014-02-19T00:00:00+00:00,2014-10-17T15:00:00+00:00
245,410,CVE-2014-3490,ronsigal,Resteasy,9b7d0f574cafdcf3bea5428f3145ab4908fc6d83,37,-39,2014-05-14T00:00:00+00:00,2014-08-19T18:00:00+00:00
246,411,CVE-2014-3498,ansible,ansible,8ed6350e65c82292a631f08845dfaacffe7f07f5,592,-19428,2014-05-14T00:00:00+00:00,2017-06-08T18:00:00+00:00
250,424,CVE-2014-3576,apache,activemq,00921f22ff9a8792d7663ef8fadd4823402a6324,161,-742,2014-05-14T00:00:00+00:00,2015-08-14T18:00:00+00:00
253,428,CVE-2014-3589,python-pillow,Pillow,205e056f8f9b06ed7b925cf8aa0874bc4aaf8a7d,662,-67,2014-05-14T00:00:00+00:00,2014-08-25T14:00:00+00:00
255,430,CVE-2014-3598,python-pillow,Pillow,347a1d8d956f9e64af4463ee25311b60cdd5657d,672,-937,2014-05-14T00:00:00+00:00,2015-05-01T15:00:00+00:00
256,431,CVE-2014-3599,hornetq,hornetq,b3a63576371828d5f8e64ba7ccbcecb1da8111d2,261,-168,2014-05-14T00:00:00+00:00,2019-11-12T13:27:04+00:00
258,439,CVE-2014-3840,mayan-edms,mayan-edms,398c480c10416d76e7c1dcb607e726e8fc988e72,4,-32,2014-05-22T00:00:00+00:00,2014-05-27T14:00:00+00:00
266,449,CVE-2014-4678,ansible,ansible,5429b85b9f6c2e640074176f36ff05fd5e4d1916,-23,-38166,2014-06-26T00:00:00+00:00,2020-02-20T02:49:50+00:00
267,460,CVE-2014-6633,tryton,trytond,19fc2a01357b7638041953326e404f51d96fad06,8,-750,2014-09-19T00:00:00+00:00,2018-04-12T15:00:00+00:00
268,461,CVE-2014-6633,tryton,trytond,3e4c2b7e8c7b3358597a0d484fa98f45483ee92a,7,-751,2014-09-19T00:00:00+00:00,2018-04-12T15:00:00+00:00
272,465,CVE-2014-7809,apache,struts,1f301038a751bf16e525607c3db513db835b2999,16,-8,2014-10-03T00:00:00+00:00,2014-12-10T15:00:00+00:00
277,478,CVE-2014-9634,jenkinsci,jenkins,582128b9ac179a788d43c1478be8a5224dc19710,-438,-4330,2015-01-22T00:00:00+00:00,2017-09-12T14:00:00+00:00
278,479,CVE-2014-9635,jenkinsci,jenkins,582128b9ac179a788d43c1478be8a5224dc19710,-438,-4330,2015-01-22T00:00:00+00:00,2017-09-12T14:00:00+00:00
281,483,CVE-2014-9720,tornadoweb,tornado,1c36307463b1e8affae100bf9386948e6c1b2308,-592,-1923,2015-05-19T00:00:00+00:00,2020-01-24T17:03:38+00:00
283,487,CVE-2015-0846,jamesturk,django-markupfield,b45734ea1d206abc1ed2a90bdc779708066d49f3,23,-3,2015-01-07T00:00:00+00:00,2015-04-24T14:00:00+00:00
284,489,CVE-2015-10005,markdown-it,markdown-it,89c8620157d6e38f9872811620d25138fc9d1b0d,-607,-607,2022-12-27T08:03:51+00:00,2022-12-27T08:05:38+00:00
285,490,CVE-2015-10085,gopistolet,gopistolet,b91aa4674d460993765884e8463c70e6d886bc90,-52,-52,2023-02-19T19:59:24+00:00,2023-02-21T17:31:03+00:00
286,492,CVE-2015-1340,lxc,lxd,19c6961cc1012c8a529f20807328a9357f5034f4,1808,-7341,2015-01-22T00:00:00+00:00,2019-04-22T15:35:59+00:00
287,493,CVE-2015-1812,jenkinsci,jenkins,f880d8d2cd9d46987ee3630fa04f77b17784f4e8,65,-921,2015-02-17T00:00:00+00:00,2015-10-16T20:00:00+00:00
288,494,CVE-2015-1812,jenkinsci,jenkins,feb2703adb0c121705e5c8e9ddf8f663b6481cbd,63,-923,2015-02-17T00:00:00+00:00,2015-10-16T20:00:00+00:00
289,495,CVE-2015-1831,apache,struts,d832747d647df343ed07a58b1b5e540a05a4d51b,40,-121,2015-02-17T00:00:00+00:00,2015-07-16T14:00:00+00:00
294,507,CVE-2015-3010,ceph,ceph-deploy,eee56770393bf19ed2dd5389226c6190c08dee3f,-11,-141,2015-04-08T00:00:00+00:00,2015-06-16T16:00:00+00:00
302,520,CVE-2015-4053,ceph,ceph-deploy,9f9fd6e3372043bd2fd67582324c8fb5d7aa361e,19,-26,2015-05-21T00:00:00+00:00,2015-06-08T14:00:00+00:00
305,530,CVE-2015-5175,apache,cxf-fediz,f65c961ea31e3c1851daba8e7e49fc37bbf77b19,0,-701,2015-07-01T00:00:00+00:00,2017-06-07T20:00:00+00:00
309,536,CVE-2015-5303,openstack,tripleo-heat-templates,293f19b2a41386e1eea47a9e6add24b006c69c42,396,-414,2015-07-01T00:00:00+00:00,2016-04-11T21:00:00+00:00
315,555,CVE-2015-6240,ansible,ansible,952166f48eb0f5797b75b160fd156bbe1e8fc647,-1416,-14315,2015-08-14T00:00:00+00:00,2017-06-07T20:00:00+00:00
316,556,CVE-2015-6240,ansible,ansible,ca2f2c4ebd7b5e097eab0a710f79c1f63badf95b,-1461,-14360,2015-08-14T00:00:00+00:00,2017-06-07T20:00:00+00:00
318,561,CVE-2015-7315,plone,Products.CMFPlone,1845b0a92312291811b68907bf2aa0fb448c4016,-127,-1065,2015-09-22T00:00:00+00:00,2017-09-25T17:00:00+00:00
319,562,CVE-2015-7316,plone,Products.CMFPlone,3da710a2cd68587f0bf34f2e7ea1167d6eeee087,-125,-1063,2015-09-22T00:00:00+00:00,2017-09-25T17:00:00+00:00
320,564,CVE-2015-7536,jenkinsci,jenkins,d3fb2c09f29007dce84a213ae8323df1105dcc30,238,-228,2015-09-29T00:00:00+00:00,2016-02-03T15:00:00+00:00
330,578,CVE-2015-8796,apache,lucene,dc2f2295e0a6c6574f033f295dc0c9adb7660df9,-902,-1076,2016-01-29T00:00:00+00:00,2016-02-15T02:00:00+00:00
338,587,CVE-2015-9242,jfhbrook,node-ecstatic,0d0a2779ac5e5843d3745920212dfac9b69440e2,-93,-119,2017-10-29T00:00:00+00:00,2018-05-29T20:00:00+00:00
339,588,CVE-2015-9251,jquery,jquery,b078a62013782c7424a4a61a240c23c4c0b42614,-385,-386,2018-01-18T00:00:00+00:00,2018-01-18T23:00:00+00:00
341,596,CVE-2016-0734,apache,activemq,24ad36778534c5ac888f880837075449169578ad,74,-84,2015-12-16T00:00:00+00:00,2016-04-07T19:00:00+00:00
342,602,CVE-2016-0775,python-pillow,Pillow,893a40850c2d5da41537958e40569c029a6e127b,140,-283,2015-12-16T00:00:00+00:00,2016-04-13T16:00:00+00:00
343,603,CVE-2016-0785,apache,struts,15857a69e7baf3675804495a5954cd0756ac8364,221,-38,2015-12-16T00:00:00+00:00,2016-04-12T16:00:00+00:00
345,606,CVE-2016-1000232,salesforce,tough-cookie,615627206357d997d5e6ff9da158997de05235ae,-9,-58,2016-10-28T00:00:00+00:00,2018-09-05T17:00:00+00:00
346,607,CVE-2016-1000232,salesforce,tough-cookie,e4fc2e0f9ee1b7a818d68f0ac7ea696f377b1534,-12,-61,2016-10-28T00:00:00+00:00,2018-09-05T17:00:00+00:00
351,614,CVE-2016-10321,web2py,web2py,944d8bd8f3c5cf8ae296fc03d149056c65358426,-416,-416,2017-04-10T00:00:00+00:00,2017-04-10T14:00:00+00:00
353,616,CVE-2016-10518,websockets,ws,29293ed11b679e0366fa0f6bb9310b330dafd795,-436,-562,2017-10-29T00:00:00+00:00,2018-05-31T20:00:00+00:00
365,628,CVE-2016-10588,nwjs,npm-installer,adb4df1e012d38a3872578d484291b9af07aad5b,-32,-84,2017-10-29T00:00:00+00:00,2018-06-01T18:00:00+00:00
366,629,CVE-2016-10589,spunjs,selenium-binaries,be37e82a3c43a4f1679d66cf9467085ec9994c47,22,21,2017-10-29T00:00:00+00:00,2018-05-29T20:00:00+00:00
371,634,CVE-2016-10703,jfhbrook,node-ecstatic,71ce93988ead4b561a8592168c72143907189f01,-71,-71,2017-12-14T00:00:00+00:00,2017-12-14T19:00:00+00:00
372,635,CVE-2016-10745,pallets,jinja,9b53045c34e61013dc8f09b7e52a555fa16bed16,-354,-354,2019-04-08T00:00:00+00:00,2019-04-08T13:00:48+00:00
375,638,CVE-2016-1241,tryton,trytond,11424d57b7838381745655e2e89470ff9087cd27,179,-6,2015-12-27T00:00:00+00:00,2016-09-07T19:00:00+00:00
376,639,CVE-2016-1241,tryton,trytond,30d2a6dcaf09340829cd70ee8a15a4941ca7161a,178,-7,2015-12-27T00:00:00+00:00,2016-09-07T19:00:00+00:00
383,646,CVE-2016-15036,deis,workflow-manager,31fe3bccbdde134a185752e53380330d16053f7f,-26,-26,2023-12-22T06:41:27+00:00,2023-12-23T20:00:05+00:00
388,652,CVE-2016-2162,apache,struts,fc2179cf1ac9fbfb61e3430fa88b641d87253327,60,-36,2016-01-29T00:00:00+00:00,2016-04-12T16:00:00+00:00
391,656,CVE-2016-2533,python-pillow,Pillow,ae453aa18b66af54e7ff716f4ccb33adca60afd4,-51,-224,2016-02-22T00:00:00+00:00,2016-04-13T16:00:00+00:00
392,657,CVE-2016-2537,mafintosh,is-my-json-valid,b3051b277f7caa08cd2edc6f74f50aeda65d2976,31,28,2016-02-22T00:00:00+00:00,2016-02-23T02:00:00+00:00
393,658,CVE-2016-2537,mafintosh,is-my-json-valid,eca4beb21e61877d76fdf6bea771f72f39544d9b,-8,-11,2016-02-22T00:00:00+00:00,2016-02-23T02:00:00+00:00
394,666,CVE-2016-3087,apache,struts,6bd694b7980494c12d49ca1bf39f12aec3e03e2f,40,-45,2016-03-10T00:00:00+00:00,2016-06-07T18:00:00+00:00
395,667,CVE-2016-3088,apache,activemq,3dd86d04e8b90ba309819317d19e7260d414d9e7,88,-70,2016-03-10T00:00:00+00:00,2016-06-01T20:00:00+00:00
398,670,CVE-2016-3953,web2py,web2py,9706d125b42481178d2b423de245f5d2faadbf40,-126,-946,2016-04-05T00:00:00+00:00,2018-02-06T18:00:00+00:00
399,671,CVE-2016-3954,web2py,web2py,0820926b500a321060ef6a76ce89fd35a252f8b0,-38,-858,2016-04-05T00:00:00+00:00,2018-02-06T18:00:00+00:00
400,672,CVE-2016-3956,npm,npm,f67ecad59e99a03e5aad8e93cd1a086ae087cb29,-40,-258,2016-04-05T00:00:00+00:00,2016-07-02T14:00:00+00:00
401,673,CVE-2016-4003,apache,struts,4720f46a63caaf9db97ba27dc51ac5ad21e66bdc,-153,-154,2016-04-12T00:00:00+00:00,2016-04-12T16:00:00+00:00
