cve,owner,repo,patch,reserve_idx_diff,publish_idx_diff,reserve_time,publish_time
CVE-2011-4924,zopefoundation,Zope,37e4ea774acc668f6b430a45a6ab1e359710f590,1,-1956,2011-12-23T00:00:00+00:00,2019-11-25T17:03:14+00:00
CVE-2011-4924,zopefoundation,Zope,a0655194cb39ad88ce3323a3e489927c5f979c44,2,-1955,2011-12-23T00:00:00+00:00,2019-11-25T17:03:14+00:00
CVE-2011-4952,cobbler,cobbler,18eb1c06779b37d89dfb2962a08236dd1bab24a6,-81,-3249,2011-12-23T00:00:00+00:00,2019-11-19T15:29:47+00:00
CVE-2011-4952,cobbler,cobbler,4bee30b4086a8d845bea5d39d6f2cba1f4a396aa,-89,-3257,2011-12-23T00:00:00+00:00,2019-11-19T15:29:47+00:00
CVE-2011-4953,cobbler,cobbler,1b4f9ecf051422eb8512794701900f6199651442,-79,-2119,2011-12-23T00:00:00+00:00,2014-10-27T01:00:00+00:00
CVE-2011-4969,jquery,jquery,db9e023e62c1ff5d8f21ed9868ab6878da2005e9,-308,-1423,2011-12-23T00:00:00+00:00,2013-03-08T22:00:00+00:00
CVE-2011-5062,apache,tomcat,639e20992a66d7a42fb59c974db91c8a0f730a1e,-4728,-4742,2012-01-14T00:00:00+00:00,2012-01-14T21:00:00+00:00
CVE-2011-5063,apache,tomcat,639e20992a66d7a42fb59c974db91c8a0f730a1e,-4728,-4742,2012-01-14T00:00:00+00:00,2012-01-14T21:00:00+00:00
CVE-2012-0022,apache,tomcat55,0314fe7743cb72e469cb395ccaaf2793a2ea0355,10,-31,2011-12-07T00:00:00+00:00,2012-01-19T02:00:00+00:00
CVE-2012-0022,apache,tomcat55,7a1cfb6bd2f849806e7c060dda8648409ad8714e,20,-21,2011-12-07T00:00:00+00:00,2012-01-19T02:00:00+00:00
CVE-2012-0022,apache,tomcat55,b05497eff4311a9657de6dfc53511d0309eb9db4,37,-4,2011-12-07T00:00:00+00:00,2012-01-19T02:00:00+00:00
CVE-2012-0213,apache,poi,25bc679244188d63de690354db0e3f301291e252,302,119,2011-12-14T00:00:00+00:00,2012-08-07T21:00:00+00:00
CVE-2012-0215,tryton,trytond,d059ebb792401ded3129cd9402d7392dc34b81e3,208,-185,2011-12-14T00:00:00+00:00,2012-07-12T20:00:00+00:00
CVE-2012-0391,apache,struts,5f54b8d087f5125d96838aafa5f64c2190e6885b,-74,-74,2012-01-08T00:00:00+00:00,2012-01-08T15:00:00+00:00
CVE-2012-0391,apache,struts,b4265d369dc29d57a9f2846a85b26598e83f3892,-72,-72,2012-01-08T00:00:00+00:00,2012-01-08T15:00:00+00:00
CVE-2012-0393,apache,struts,9cad25f258bb2629d263f828574d2671366c238d,-4,-4,2012-01-08T00:00:00+00:00,2012-01-08T15:00:00+00:00
CVE-2012-0394,apache,struts,9cad25f258bb2629d263f828574d2671366c238d,-4,-4,2012-01-08T00:00:00+00:00,2012-01-08T15:00:00+00:00
CVE-2012-0805,sqlalchemy,sqlalchemy,51fea2e159ca93daa0bc8066a5c35d8436d99418,-425,-690,2012-01-19T00:00:00+00:00,2012-06-05T22:00:00+00:00
CVE-2012-0838,apache,struts,5f54b8d087f5125d96838aafa5f64c2190e6885b,-79,-96,2012-01-19T00:00:00+00:00,2012-03-02T22:00:00+00:00
CVE-2012-0838,apache,struts,b4265d369dc29d57a9f2846a85b26598e83f3892,-77,-94,2012-01-19T00:00:00+00:00,2012-03-02T22:00:00+00:00
CVE-2012-0878,cdent,pastescript,b5f36f2995e1ae117cc53d2bd458d7fb33e4cabe,2,-1,2012-01-19T00:00:00+00:00,2012-05-01T19:00:00+00:00
CVE-2012-0881,apache,xerces2-j,992b5d9c24102ad20330d36c0a71162753a37449,9,-59,2012-01-19T00:00:00+00:00,2017-10-30T16:00:00+00:00
CVE-2012-1176,pediapress,pyfribidi,d2860c655357975e7b32d84e6b45e98f0dcecd7a,1,-6,2012-02-14T00:00:00+00:00,2012-08-26T20:00:00+00:00
CVE-2012-2094,openstack,horizon,ab2e27522aaeb0268fcc121bd3eff5a4485f313c,4,-95,2012-04-04T00:00:00+00:00,2012-06-05T22:00:00+00:00
CVE-2012-2098,apache,commons-compress,020c03d8ef579e80511023fb46ece30e9c3dd27d,11,-22,2012-04-04T00:00:00+00:00,2012-06-29T00:00:00+00:00
CVE-2012-2098,apache,commons-compress,0600296ab8f8a0bbdfedd483f51b38005eb8e34e,15,-18,2012-04-04T00:00:00+00:00,2012-06-29T00:00:00+00:00
CVE-2012-2098,apache,commons-compress,1ce57d976c4f25fe99edcadf079840c278f3cb84,9,-24,2012-04-04T00:00:00+00:00,2012-06-29T00:00:00+00:00
CVE-2012-2098,apache,commons-compress,2ab2fcb356753927afaa731b9d2dcc47d3083408,16,-17,2012-04-04T00:00:00+00:00,2012-06-29T00:00:00+00:00
CVE-2012-2098,apache,commons-compress,654222e628097763ee6ca561ae77be5c06666173,18,-15,2012-04-04T00:00:00+00:00,2012-06-29T00:00:00+00:00
CVE-2012-2098,apache,commons-compress,6ced422bf5eca3aac05396367bafb33ec21bf74e,17,-16,2012-04-04T00:00:00+00:00,2012-06-29T00:00:00+00:00
CVE-2012-2098,apache,commons-compress,6e95697e783767f3549f00d7d2e1b002eac4a3d4,8,-25,2012-04-04T00:00:00+00:00,2012-06-29T00:00:00+00:00
CVE-2012-2098,apache,commons-compress,8f702469cbf4c451b6dea349290bc4af0f6f76c7,20,-13,2012-04-04T00:00:00+00:00,2012-06-29T00:00:00+00:00
CVE-2012-2098,apache,commons-compress,b06f7b41c936ef1a79589d16ea5c1d8b93f71f66,7,-26,2012-04-04T00:00:00+00:00,2012-06-29T00:00:00+00:00
CVE-2012-2098,apache,commons-compress,cca0e6e5341aacddefd4c4d36cef7cbdbc2a8777,13,-20,2012-04-04T00:00:00+00:00,2012-06-29T00:00:00+00:00
CVE-2012-2098,apache,commons-compress,ea31005111f0abede7e43e4ba0012e62e0808b22,12,-21,2012-04-04T00:00:00+00:00,2012-06-29T00:00:00+00:00
