,owner,repo,mrr,recall100,recall500,recall1000,recall2000,recall5000,commit_count,cve_count
733,stimulusreflex,stimulus_reflex,0.09090909091,1.0,1.0,1.0,1.0,1.0,1680,1
734,medikoo,es5-ext,0.1111111111,1.0,1.0,1.0,1.0,1.0,1676,1
735,semantic-release,semantic-release,0.5625,1.0,1.0,1.0,1.0,1.0,1672,2
736,dgtlmoon,changedetection.io,0.8333333333,1.0,1.0,1.0,1.0,1.0,1671,3
737,mqttjs,MQTT.js,0.02857142857,1.0,1.0,1.0,1.0,1.0,1670,1
738,socketio,engine.io-client,0.006289308176,0.0,1.0,1.0,1.0,1.0,1667,1
739,scandipwa,create-magento-app,0.007352941176,0.0,1.0,1.0,1.0,1.0,1665,1
740,quay,claircore,0.07142857143,1.0,1.0,1.0,1.0,1.0,1661,1
741,ReFirmLabs,binwalk,0.05555555556,1.0,1.0,1.0,1.0,1.0,1659,1
742,apache,tomcat55,1.0,1.0,1.0,1.0,1.0,1.0,1658,1
743,OHDSI,WebAPI,0.008771929825,0.0,1.0,1.0,1.0,1.0,1656,1
744,nvbn,thefuck,0.5,1.0,1.0,1.0,1.0,1.0,1651,1
745,revel,revel,0.009174311927,0.0,1.0,1.0,1.0,1.0,1645,1
746,apache,flink,0.015625,1.0,1.0,1.0,1.0,1.0,54339,1
747,apache,groovy,0.0008591065292,0.0,0.0,0.0,1.0,1.0,21365,1
748,SagerNet,sing-box,0.25,1.0,1.0,1.0,1.0,1.0,1642,1
749,apache,accumulo,0.03333333333,0.25,0.5,0.5,0.5,0.5,11059,2
750,pingidentity,ldapsdk,1.0,1.0,1.0,1.0,1.0,1.0,1637,1
751,wso2,carbon-registry,0.03189102564,0.6666666667,0.6666666667,1.0,1.0,1.0,1635,3
752,jberet,jsr352,0.03333333333,1.0,1.0,1.0,1.0,1.0,1635,1
753,facebook,hermes,0.1826107748,0.5,0.5,0.8333333333,1.0,1.0,5497,6
754,axios,axios,0.269047619,1.0,1.0,1.0,1.0,1.0,1632,4
755,apache,druid,0.25,1.0,1.0,1.0,1.0,1.0,14765,1
756,ansible,ansible-runner,0.004083511523,0.0,1.0,1.0,1.0,1.0,1630,2
757,openshift,source-to-image,0.03125,1.0,1.0,1.0,1.0,1.0,1628,1
758,aaugustin,websockets,1.0,1.0,1.0,1.0,1.0,1.0,1621,1
759,html5lib,html5lib-python,0.01389156859,1.0,1.0,1.0,1.0,1.0,1612,2
760,DataTables,Dist-DataTables,1.0,1.0,1.0,1.0,1.0,1.0,1602,1
761,GrahamDumpleton,mod_wsgi,1.0,1.0,1.0,1.0,1.0,1.0,1597,1
762,xnio,xnio,0.125,1.0,1.0,1.0,1.0,1.0,1593,1
763,kubernetes-sigs,secrets-store-csi-driver,0.002840909091,0.0,1.0,1.0,1.0,1.0,1588,1
764,projectdiscovery,interactsh,0.01587301587,1.0,1.0,1.0,1.0,1.0,1580,1
765,jenkinsci,jira-plugin,0.5384615385,1.0,1.0,1.0,1.0,1.0,1561,2
766,jenkinsci,support-core-plugin,0.1177902979,1.0,1.0,1.0,1.0,1.0,1557,4
767,apache,servicecomb-service-center,0.125,1.0,1.0,1.0,1.0,1.0,1551,1
768,webpack,webpack-dev-middleware,0.04,1.0,1.0,1.0,1.0,1.0,1545,1
769,joblib,joblib,1.0,1.0,1.0,1.0,1.0,1.0,1542,1
770,gruntjs,grunt,0.4444444444,1.0,1.0,1.0,1.0,1.0,1538,3
771,spring-projects,spring-authorization-server,0.01639344262,1.0,1.0,1.0,1.0,1.0,1534,1
772,elastic,apm-agent-go,0.05,1.0,1.0,1.0,1.0,1.0,1533,1
773,openshift,openshift-controller-manager,0.125,1.0,1.0,1.0,1.0,1.0,1532,1
774,sindresorhus,got,0.1666666667,1.0,1.0,1.0,1.0,1.0,1530,1
775,psd-tools,psd-tools,0.2,1.0,1.0,1.0,1.0,1.0,1530,1
776,smallrye,smallrye-config,0.004016064257,0.0,1.0,1.0,1.0,1.0,1529,1
777,snowflakedb,snowflake-connector-python,0.05044390638,0.6666666667,1.0,1.0,1.0,1.0,1526,3
778,aws-amplify,aws-sdk-android,0.02272727273,1.0,1.0,1.0,1.0,1.0,1523,1
779,mongodb,libmongocrypt,0.01851851852,1.0,1.0,1.0,1.0,1.0,1512,1
780,togglz,togglz,0.3333333333,1.0,1.0,1.0,1.0,1.0,1511,1
781,canonical,operator,0.04347826087,1.0,1.0,1.0,1.0,1.0,1507,1
782,jenkinsci,workflow-job-plugin,0.03703703704,1.0,1.0,1.0,1.0,1.0,1505,1
783,encode,httpx,0.25,1.0,1.0,1.0,1.0,1.0,1501,1
784,AlexxIT,go2rtc,0.02415654521,1.0,1.0,1.0,1.0,1.0,1496,3
785,jenkinsci,pipeline-maven-plugin,0.04545454545,1.0,1.0,1.0,1.0,1.0,1485,1
786,foxcpp,maddy,0.09722222222,1.0,1.0,1.0,1.0,1.0,1483,2
787,jmrozanec,cron-utils,0.02330623306,1.0,1.0,1.0,1.0,1.0,1476,2
788,aerospike,aerospike-client-java,0.1111111111,1.0,1.0,1.0,1.0,1.0,1476,1
789,wildfly,jboss-ejb-client,0.2,1.0,1.0,1.0,1.0,1.0,1476,1
790,jenkinsci,email-ext-plugin,0.05046119572,1.0,1.0,1.0,1.0,1.0,1879,5
791,FasterXML,jackson-dataformats-binary,0.01587301587,0.5,1.0,1.0,1.0,1.0,1475,1
792,voila-dashboards,voila,0.25,1.0,1.0,1.0,1.0,1.0,1467,1
793,pippo-java,pippo,0.5942028986,1.0,1.0,1.0,1.0,1.0,1466,4
794,devsnd,cherrymusic,0.5,1.0,1.0,1.0,1.0,1.0,1463,2
795,browserslist,browserslist,0.01666666667,1.0,1.0,1.0,1.0,1.0,1454,1
796,drewnoakes,metadata-extractor,0.1,1.0,1.0,1.0,1.0,1.0,1449,1
797,encode,starlette,0.1888888889,1.0,1.0,1.0,1.0,1.0,1449,3
798,jenkinsci,openstack-cloud-plugin,0.2,1.0,1.0,1.0,1.0,1.0,1445,1
799,ff4j,ff4j,0.02222222222,1.0,1.0,1.0,1.0,1.0,1440,1
800,duke-git,lancet,0.2,1.0,1.0,1.0,1.0,1.0,1438,1
801,opensearch-project,security,0.04407051282,1.0,1.0,1.0,1.0,1.0,1434,2
802,leo-editor,leo-editor,0.01538461538,1.0,1.0,1.0,1.0,1.0,35877,1
803,nanopb,nanopb,1.0,1.0,1.0,1.0,1.0,1.0,1429,1
804,ory,oathkeeper,0.04347826087,1.0,1.0,1.0,1.0,1.0,1424,1
805,ua-parser,uap-core,0.196509009,1.0,1.0,1.0,1.0,1.0,1414,3
806,BYVoid,OpenCC,1.0,1.0,1.0,1.0,1.0,1.0,1414,1
807,fastly,js-compute-runtime,0.09920634921,1.0,1.0,1.0,1.0,1.0,1413,2
808,actions,toolkit,0.1690821256,0.5,1.0,1.0,1.0,1.0,1413,2
809,spiral-project,ihatemoney,1.0,1.0,1.0,1.0,1.0,1.0,1411,1
810,jenkinsci,credentials-plugin,0.04361739955,0.6666666667,1.0,1.0,1.0,1.0,1408,3
811,steveukx,git-js,0.08253968254,1.0,1.0,1.0,1.0,1.0,1406,3
812,immerjs,immer,0.4404761905,1.0,1.0,1.0,1.0,1.0,1405,3
813,jenkinsci,ecutest-plugin,0.2666666667,1.0,1.0,1.0,1.0,1.0,1395,2
814,LLK,scratch-svg-renderer,0.125,1.0,1.0,1.0,1.0,1.0,1390,1
815,aws,amazon-cloudwatch-agent,0.004048582996,0.0,1.0,1.0,1.0,1.0,1389,1
816,google,mesop,0.01785714286,1.0,1.0,1.0,1.0,1.0,1389,1
817,yhatt,jsx-slack,0.02786377709,1.0,1.0,1.0,1.0,1.0,1387,2
818,paxswill,evesrp,0.3333333333,1.0,1.0,1.0,1.0,1.0,1384,1
819,medialize,URI.js,0.322008547,1.0,1.0,1.0,1.0,1.0,1378,4
820,jupyter-server,jupyter_server,0.03796061688,0.75,1.0,1.0,1.0,1.0,12776,8
821,medialize,uri.js,0.3541666667,1.0,1.0,1.0,1.0,1.0,1378,4
822,mysqljs,mysql,1.0,1.0,1.0,1.0,1.0,1.0,1378,1
823,sebhildebrandt,systeminformation,0.2070639034,0.7916666667,1.0,1.0,1.0,1.0,1986,8
824,apache,maven-archetype,0.01098901099,1.0,1.0,1.0,1.0,1.0,1377,1
825,aedart,ion,0.04,1.0,1.0,1.0,1.0,1.0,1377,1
826,electron,packager,0.25,1.0,1.0,1.0,1.0,1.0,1369,1
827,fleetdm,fleet,0.008695652174,0.0,1.0,1.0,1.0,1.0,15484,1
828,amauric,tarteaucitron.js,1.0,1.0,1.0,1.0,1.0,1.0,1369,1
829,pulp,pulp_ansible,0.02127659574,1.0,1.0,1.0,1.0,1.0,1366,1
830,tortoise,tortoise-orm,0.1428571429,1.0,1.0,1.0,1.0,1.0,1362,1
831,nsupdate-info,nsupdate.info,0.01388888889,1.0,1.0,1.0,1.0,1.0,1359,1
832,jenkinsci,lockable-resources-plugin,0.05570291777,1.0,1.0,1.0,1.0,1.0,1349,2
833,schokokeksorg,freewvs,0.5263157895,1.0,1.0,1.0,1.0,1.0,1346,2
834,horovod,horovod,0.09090909091,1.0,1.0,1.0,1.0,1.0,1341,1
835,eclipse,lemminx,0.04545454545,1.0,1.0,1.0,1.0,1.0,1339,1
836,carltongibson,django-filter,1.0,1.0,1.0,1.0,1.0,1.0,1336,1
837,encode,uvicorn,0.07142857143,1.0,1.0,1.0,1.0,1.0,1334,1
838,django,channels,0.5,1.0,1.0,1.0,1.0,1.0,1333,1
839,petl-developers,petl,0.05882352941,1.0,1.0,1.0,1.0,1.0,1331,1
840,airbnb,knowledge-repo,1.0,1.0,1.0,1.0,1.0,1.0,1329,1
841,cronvel,terminal-kit,0.005813953488,0.0,1.0,1.0,1.0,1.0,1328,1
842,ipld,go-ipld-prime,1.0,1.0,1.0,1.0,1.0,1.0,1328,1
843,strapi,strapi,0.04572801151,0.3703703704,0.6296296296,0.7407407407,0.962962963,1.0,35745,9
844,Secreto31126,whatsapp-api-js,0.09090909091,1.0,1.0,1.0,1.0,1.0,1326,1
845,stleary,JSON-java,0.007119333592,0.0,1.0,1.0,1.0,1.0,1322,2
846,bustle,mobiledoc-kit,0.06666666667,1.0,1.0,1.0,1.0,1.0,1322,1
847,andialbrecht,sqlparse,0.5111111111,0.8333333333,0.8333333333,1.0,1.0,1.0,1318,3
848,mozilla,nunjucks,0.2,1.0,1.0,1.0,1.0,1.0,1317,1
849,jsGiven,jsGiven,0.004784688995,0.0,1.0,1.0,1.0,1.0,1314,1
850,jenkinsci,junit-plugin,0.05977162934,1.0,1.0,1.0,1.0,1.0,1314,3
851,TryGhost,node-sqlite3,0.5833333333,1.0,1.0,1.0,1.0,1.0,1314,2
852,jenkinsci,mercurial-plugin,0.1733695652,1.0,1.0,1.0,1.0,1.0,1310,4
853,turt2live,matrix-media-repo,0.02272727273,1.0,1.0,1.0,1.0,1.0,1309,1
854,MrSwitch,hello.js,0.75,1.0,1.0,1.0,1.0,1.0,1307,2
855,futurepress,epub.js,0.02941176471,1.0,1.0,1.0,1.0,1.0,1306,1
856,jenkinsci,job-config-history-plugin,0.1295498084,1.0,1.0,1.0,1.0,1.0,1302,3
857,fb55,css-what,0.06060606061,1.0,1.0,1.0,1.0,1.0,1296,2
858,jenkinsci,sauce-ondemand-plugin,0.25,1.0,1.0,1.0,1.0,1.0,1296,1
859,izatop,bunt,0.025,1.0,1.0,1.0,1.0,1.0,1294,1
860,fastify,fastify-passport,0.04583333333,1.0,1.0,1.0,1.0,1.0,1294,2
861,python-bugzilla,python-bugzilla,0.06666666667,1.0,1.0,1.0,1.0,1.0,1294,1
862,brianvoe,slim-select,0.1428571429,1.0,1.0,1.0,1.0,1.0,1292,1
863,inveniosoftware,invenio-communities,0.1666666667,1.0,1.0,1.0,1.0,1.0,1286,1
864,typelevel,grackle,0.01923076923,1.0,1.0,1.0,1.0,1.0,1283,1
865,ronf,asyncssh,0.2247474747,1.0,1.0,1.0,1.0,1.0,1282,3
866,toastdriven,django-tastypie,0.5,1.0,1.0,1.0,1.0,1.0,1279,1
867,jenkinsci,ghprb-plugin,0.06666666667,1.0,1.0,1.0,1.0,1.0,1275,1
868,vuestorefront,storefront-api,0.01123595506,1.0,1.0,1.0,1.0,1.0,1271,1
869,dgilland,pydash,0.02702702703,1.0,1.0,1.0,1.0,1.0,1271,1
870,gventuri,pandas-ai,0.007246376812,0.0,1.0,1.0,1.0,1.0,1264,1
871,trentm,python-markdown2,0.01828571429,0.5,1.0,1.0,1.0,1.0,1264,2
872,jenkinsci,docker-plugin,0.2,1.0,1.0,1.0,1.0,1.0,1264,2
873,brokercap,Bifrost,0.009615384615,0.0,1.0,1.0,1.0,1.0,1263,1
874,huggingface,text-generation-inference,0.03846153846,1.0,1.0,1.0,1.0,1.0,1260,1
875,google,brotli,0.02941176471,1.0,1.0,1.0,1.0,1.0,1254,1
876,eclipse,milo,0.01989755713,1.0,1.0,1.0,1.0,1.0,1245,2
877,ssbc,ssb-db,0.02777777778,1.0,1.0,1.0,1.0,1.0,1244,1
878,jenkinsci,coverity-plugin,0.03571428571,1.0,1.0,1.0,1.0,1.0,1243,1
879,moment,luxon,0.1666666667,1.0,1.0,1.0,1.0,1.0,1239,1
880,mysql,mysql-connector-python,0.01282051282,1.0,1.0,1.0,1.0,1.0,1238,1
881,nektos,act,0.01851851852,1.0,1.0,1.0,1.0,1.0,1235,1
882,maptiler,tileserver-gl,1.0,1.0,1.0,1.0,1.0,1.0,1224,1
883,ansys,pyansys-geometry,0.25,1.0,1.0,1.0,1.0,1.0,1221,1
884,scikit-learn,scikit-learn,0.5001963865,0.5,0.5,0.5,0.5,1.0,32159,2
885,harttle,liquidjs,1.0,1.0,1.0,1.0,1.0,1.0,1220,1
886,faisalman,ua-parser-js,0.3277777778,1.0,1.0,1.0,1.0,1.0,1216,4
887,status-board,status-board,1.0,1.0,1.0,1.0,1.0,1.0,1216,1
888,twbs,bootstrap-rubygem,1.0,1.0,1.0,1.0,1.0,1.0,1215,1
889,jhipster,jhipster-kotlin,0.005524861878,0.0,1.0,1.0,1.0,1.0,1214,1
890,jazzband,tablib,0.05,1.0,1.0,1.0,1.0,1.0,1213,1
891,xerial,snappy-java,0.1607142857,1.0,1.0,1.0,1.0,1.0,1196,4
892,twisted,txaws,0.2,1.0,1.0,1.0,1.0,1.0,1194,1
893,socketio,engine.io,0.3982142857,1.0,1.0,1.0,1.0,1.0,1193,4
894,Blazemeter,blazemeter-jenkins-plugin,0.02083333333,1.0,1.0,1.0,1.0,1.0,1192,1
895,goToMain,libosdp,0.6666666667,1.0,1.0,1.0,1.0,1.0,1192,2
896,protocolbuffers,protobuf-go,0.04545454545,1.0,1.0,1.0,1.0,1.0,1191,1
897,express-handlebars,express-handlebars,0.03225806452,1.0,1.0,1.0,1.0,1.0,1187,1
898,moxiecode,plupload,0.25,1.0,1.0,1.0,1.0,1.0,1186,1
899,jupyterhub,jupyter-server-proxy,0.1904255319,1.0,1.0,1.0,1.0,1.0,1185,3
900,twisted,treq,0.1428571429,1.0,1.0,1.0,1.0,1.0,1170,1
901,appium,appium-desktop,0.5,1.0,1.0,1.0,1.0,1.0,1168,1
902,jenkinsci,swarm-plugin,0.04006410256,1.0,1.0,1.0,1.0,1.0,1167,2
903,mansuf,mangadex-downloader,0.05555555556,1.0,1.0,1.0,1.0,1.0,1167,1
904,snowflakedb,gosnowflake,0.01020408163,1.0,1.0,1.0,1.0,1.0,1163,1
905,PyGreSQL,PyGreSQL,0.25,1.0,1.0,1.0,1.0,1.0,1161,1
906,golang,crypto,1.0,1.0,1.0,1.0,1.0,1.0,1160,3
907,snyk,snyk-eclipse-plugin,0.2,1.0,1.0,1.0,1.0,1.0,1158,1
908,projectcapsule,capsule,0.1009615385,1.0,1.0,1.0,1.0,1.0,1155,2
909,algolia,algoliasearch-helper-js,0.05882352941,1.0,1.0,1.0,1.0,1.0,1154,1
910,genieacs,genieacs,0.2,1.0,1.0,1.0,1.0,1.0,1152,1
911,apache,sling-org-apache-sling-servlets-resolver,0.5,1.0,1.0,1.0,1.0,1.0,1152,1
912,gomarkdown,markdown,0.1513157895,1.0,1.0,1.0,1.0,1.0,1147,2
913,ulikunitz,xz,1.0,1.0,1.0,1.0,1.0,1.0,1144,2
914,charleskorn,kaml,1.0,1.0,1.0,1.0,1.0,1.0,1138,2
915,markdown-it,markdown-it,0.03630952381,0.5,0.5,1.0,1.0,1.0,1132,2
916,openstack,glance_store,0.1111111111,1.0,1.0,1.0,1.0,1.0,1130,1
917,ls1intum,Ares,1.0,1.0,1.0,1.0,1.0,1.0,1128,1
918,PyMySQL,PyMySQL,0.5,1.0,1.0,1.0,1.0,1.0,1127,1
919,opencontainers,umoci,0.3333333333,1.0,1.0,1.0,1.0,1.0,1106,1
920,ai,nanoid,0.2,1.0,1.0,1.0,1.0,1.0,1104,1
921,nexB,scancode.io,0.3333333333,1.0,1.0,1.0,1.0,1.0,1101,1
922,graphql,graphql-playground,0.6,1.0,1.0,1.0,1.0,1.0,1099,2
923,python-mechanize,mechanize,0.03703703704,1.0,1.0,1.0,1.0,1.0,1094,1
924,robinbuschmann,sequelize-typescript,0.1428571429,1.0,1.0,1.0,1.0,1.0,1094,1
925,appleboy,gorush,0.02941176471,1.0,1.0,1.0,1.0,1.0,1092,1
926,jenkinsci,active-choices-plugin,0.04538324421,1.0,1.0,1.0,1.0,1.0,1089,4
927,easybuilders,easybuild-framework,0.02127659574,1.0,1.0,1.0,1.0,1.0,16425,1
928,mscdex,ssh2,0.5,1.0,1.0,1.0,1.0,1.0,1089,1
929,http4s,http4s,0.1212325686,0.7777777778,1.0,1.0,1.0,1.0,17775,3
930,HtmlUnit,htmlunit,0.003546884223,0.0,1.0,1.0,1.0,1.0,23199,2
931,gookit,goutil,0.003246753247,0.0,1.0,1.0,1.0,1.0,1086,1
932,ibmdb,node-ibm_db,0.004098360656,0.0,1.0,1.0,1.0,1.0,1086,1
933,moinwiki,moin-1.9,0.0,0.0,0.0,0.0,0.0,0.0,1082,3
934,Pylons,colander,0.05882352941,1.0,1.0,1.0,1.0,1.0,1082,1
935,nodemailer,nodemailer,0.5,1.0,1.0,1.0,1.0,1.0,1076,2
936,micronaut-projects,micronaut-core,0.08624810193,0.25,0.6666666667,1.0,1.0,1.0,14408,4
937,python-openxml,python-docx,0.1111111111,1.0,1.0,1.0,1.0,1.0,1074,1
938,mitmproxy,pdoc,1.0,1.0,1.0,1.0,1.0,1.0,1073,1
939,openstack,storlets,0.004219409283,0.0,1.0,1.0,1.0,1.0,1070,1
940,jenkinsci,dependency-check-plugin,0.5555555556,1.0,1.0,1.0,1.0,1.0,1064,2
941,briancappello,flask-unchained,0.3333333333,1.0,1.0,1.0,1.0,1.0,1058,1
942,csaf-poc,csaf_distribution,0.002941176471,0.0,1.0,1.0,1.0,1.0,1057,1
943,apache,qpid-python,1.0,1.0,1.0,1.0,1.0,1.0,1057,1
944,ubernostrum,django-registration,0.1428571429,1.0,1.0,1.0,1.0,1.0,1055,1
945,CycloneDX,cyclonedx-javascript-library,0.05555555556,1.0,1.0,1.0,1.0,1.0,1054,1
946,apache,submarine,0.4595959596,1.0,1.0,1.0,1.0,1.0,1051,3
947,goreleaser,nfpm,0.02380952381,1.0,1.0,1.0,1.0,1.0,1044,1
948,rhysd,Shiba,0.09090909091,1.0,1.0,1.0,1.0,1.0,1043,1
949,corazawaf,coraza,0.1111111111,0.6666666667,1.0,1.0,1.0,1.0,1043,1
950,soketi,soketi,0.05555555556,1.0,1.0,1.0,1.0,1.0,1042,1
951,adamghill,django-unicorn,0.1666666667,1.0,1.0,1.0,1.0,1.0,1042,2
952,jenkinsci,templating-engine-plugin,0.125,1.0,1.0,1.0,1.0,1.0,1041,1
953,jenkinsci,analysis-core-plugin,1.0,1.0,1.0,1.0,1.0,1.0,1041,2
954,grafana,synthetic-monitoring-agent,0.2,1.0,1.0,1.0,1.0,1.0,1039,1
955,Formstone,Formstone,0.04,1.0,1.0,1.0,1.0,1.0,1037,1
956,twitter,twitter-server,0.3333333333,1.0,1.0,1.0,1.0,1.0,1026,1
957,dahlia,fedify,0.01515151515,1.0,1.0,1.0,1.0,1.0,1019,1
958,DataDog,guarddog,0.0233557047,0.5,1.0,1.0,1.0,1.0,1018,2
959,in-toto,in-toto-golang,0.25,1.0,1.0,1.0,1.0,1.0,1016,1
960,tomerfiliba-org,rpyc,0.3333333333,0.5,1.0,1.0,1.0,1.0,1013,1
961,codehaus-plexus,plexus-utils,0.1261715602,0.6666666667,1.0,1.0,1.0,1.0,1010,3
962,spacemeshos,api,0.09090909091,1.0,1.0,1.0,1.0,1.0,1009,1
963,diffplug,goomph,0.3333333333,1.0,1.0,1.0,1.0,1.0,1008,1
964,jenkinsci,bitbucket-branch-source-plugin,0.1499496982,1.0,1.0,1.0,1.0,1.0,1006,4
965,Kozea,CairoSVG,1.0,1.0,1.0,1.0,1.0,1.0,1004,2
966,infinispan,protostream,0.009259259259,0.0,1.0,1.0,1.0,1.0,1001,1
967,digitalbazaar,forge,0.4285714286,1.0,1.0,1.0,1.0,1.0,1706,5
968,jenkinsci,azure-vm-agents-plugin,0.05033670034,1.0,1.0,1.0,1.0,1.0,1001,3
969,codehaus-plexus,plexus-archiver,0.2587719298,1.0,1.0,1.0,1.0,1.0,1000,2
970,python-restx,flask-restx,0.02083333333,1.0,1.0,1.0,1.0,1.0,999,1
971,angus-c,just,0.125,1.0,1.0,1.0,1.0,1.0,999,1
972,sbt,io,0.3333333333,1.0,1.0,1.0,1.0,1.0,993,1
973,wanasit,chrono,0.008,0.0,1.0,1.0,1.0,1.0,990,1
974,stellar,js-stellar-sdk,0.3333333333,1.0,1.0,1.0,1.0,1.0,983,1
975,apache,james-mime4j,0.5,1.0,1.0,1.0,1.0,1.0,983,2
976,FasterXML,jackson-dataformats-text,0.007092198582,0.0,1.0,1.0,1.0,1.0,981,1
977,jstachio,jstachio,0.06666666667,1.0,1.0,1.0,1.0,1.0,979,1
978,jenkinsci,promoted-builds-plugin,0.09545454545,1.0,1.0,1.0,1.0,1.0,977,2
979,sqlalchemy,mako,0.1,1.0,1.0,1.0,1.0,1.0,973,1
980,json-path,JsonPath,0.2,1.0,1.0,1.0,1.0,1.0,970,1
981,auth0,auth0.js,0.1666666667,1.0,1.0,1.0,1.0,1.0,968,1
982,DedSecInside,TorBot,0.008695652174,0.0,1.0,1.0,1.0,1.0,965,1
983,OceanicJS,Oceanic,0.125,1.0,1.0,1.0,1.0,1.0,956,1
984,sylabs,sif,0.2954545455,1.0,1.0,1.0,1.0,1.0,956,2
985,xwiki-contrib,application-ckeditor,0.006666666667,0.0,1.0,1.0,1.0,1.0,955,1
986,Netflix,consoleme,0.3055555556,1.0,1.0,1.0,1.0,1.0,952,2
987,OpenKMIP,PyKMIP,0.03125,1.0,1.0,1.0,1.0,1.0,950,1
988,nitely,spirit,0.5,1.0,1.0,1.0,1.0,1.0,950,1
989,ckeditor,ckeditor5-link,1.0,1.0,1.0,1.0,1.0,1.0,949,1
990,aio-libs,aiohttp-session,0.06274509804,1.0,1.0,1.0,1.0,1.0,948,2
991,Tencent,vConsole,0.3333333333,1.0,1.0,1.0,1.0,1.0,947,1
992,jenkinsci,workflow-support-plugin,0.5,1.0,1.0,1.0,1.0,1.0,946,1
993,cloudevents,sdk-go,0.3333333333,1.0,1.0,1.0,1.0,1.0,941,1
994,abhinavsingh,proxy.py,0.3333333333,1.0,1.0,1.0,1.0,1.0,940,1
995,jenkinsci,xunit-plugin,0.5,1.0,1.0,1.0,1.0,1.0,935,1
996,jenkinsci,testng-plugin-plugin,0.1428571429,1.0,1.0,1.0,1.0,1.0,933,1
997,openshift,builder,1.0,1.0,1.0,1.0,1.0,1.0,932,1
998,smallrye,smallrye-health,0.1666666667,1.0,1.0,1.0,1.0,1.0,931,1
999,dlitz,pycrypto,0.7333333333,1.0,1.0,1.0,1.0,1.0,931,3
1000,gouniverse,cms,0.1666666667,0.5,0.5,0.5,0.5,0.5,930,2
1001,studygolang,studygolang,0.01666666667,1.0,1.0,1.0,1.0,1.0,928,1
1002,line,centraldogma,0.1,1.0,1.0,1.0,1.0,1.0,928,1
1003,cloudreve,Cloudreve,0.006451612903,0.0,1.0,1.0,1.0,1.0,925,1
1004,google,closure-library,0.0119047619,1.0,1.0,1.0,1.0,1.0,10301,1
1005,Mar10,wsgidav,0.25,1.0,1.0,1.0,1.0,1.0,925,1
1006,florianholzapfel,express-restify-mongoose,0.05,1.0,1.0,1.0,1.0,1.0,924,1
1007,delgan,loguru,0.625,1.0,1.0,1.0,1.0,1.0,919,2
1008,caronc,apprise,0.05263157895,1.0,1.0,1.0,1.0,1.0,918,1
1009,irrdnet,irrd,0.07142857143,1.0,1.0,1.0,1.0,1.0,918,1
1010,protobufjs,protobuf.js,0.3333333333,1.0,1.0,1.0,1.0,1.0,918,1
1011,containers,storage,0.009090909091,0.0,1.0,1.0,1.0,1.0,30163,1
1012,anymail,django-anymail,0.75,1.0,1.0,1.0,1.0,1.0,918,2
1013,jenkinsci,timestamper-plugin,0.04545454545,1.0,1.0,1.0,1.0,1.0,917,1
1014,emicklei,go-restful,0.5,1.0,1.0,1.0,1.0,1.0,912,1
1015,linkedin,dustjs,0.07692307692,1.0,1.0,1.0,1.0,1.0,906,1
1016,python-poetry,poetry-core,0.2,1.0,1.0,1.0,1.0,1.0,906,1
1017,jquery-validation,jquery-validation,0.6811594203,1.0,1.0,1.0,1.0,1.0,900,3
1018,richardbarran,django-photologue,0.3333333333,1.0,1.0,1.0,1.0,1.0,899,1
1019,expo,expo,0.0,0.0,0.0,0.0,0.0,0.0,898,1
1020,DIYgod,RSSHub,0.01093649341,0.3333333333,0.9166666667,0.9166666667,0.9166666667,0.9166666667,13779,6
1021,netty,netty,0.332426412,1.0,1.0,1.0,1.0,1.0,11693,11
1022,joeattardi,emoji-button,0.5,1.0,1.0,1.0,1.0,1.0,898,1
1023,pydata,numexpr,0.0303030303,1.0,1.0,1.0,1.0,1.0,892,1
1024,HtmlUnit,htmlunit-neko,0.06666666667,1.0,1.0,1.0,1.0,1.0,888,1
1025,jpadilla,pyjwt,0.09090909091,1.0,1.0,1.0,1.0,1.0,884,1
1026,gofiber,template,0.25,1.0,1.0,1.0,1.0,1.0,881,1
1027,matrix-org,matrix-react-sdk,0.006426691292,0.25,0.5,0.75,0.75,1.0,96279,4
1028,nwjs,npm-installer,0.007194244604,0.0,1.0,1.0,1.0,1.0,880,1
1029,mpetroff,pannellum,0.04166666667,1.0,1.0,1.0,1.0,1.0,880,1
1030,aio-libs,aiohttp,0.09838238028,0.2727272727,0.9090909091,1.0,1.0,1.0,11567,11
1031,blackducksoftware,hub-rest-api-python,0.1,1.0,1.0,1.0,1.0,1.0,876,1
1032,C2FO,fast-csv,0.02127659574,1.0,1.0,1.0,1.0,1.0,868,1
1033,nahsra,antisamy,0.1070500325,1.0,1.0,1.0,1.0,1.0,860,3
1034,swagger-api,swagger-codegen,0.004963543206,0.0,1.0,1.0,1.0,1.0,11737,2
1035,deislabs,oras,0.25,1.0,1.0,1.0,1.0,1.0,859,1
1036,xwiki-contrib,application-changerequest,0.007659007659,0.5,1.0,1.0,1.0,1.0,855,2
1037,ome,omero-web,0.03873419344,0.5,1.0,1.0,1.0,1.0,13493,4
1038,xmldom,xmldom,0.1723856209,1.0,1.0,1.0,1.0,1.0,855,3
1039,aFarkas,lazysizes,0.5,1.0,1.0,1.0,1.0,1.0,854,1
1040,openapi-generators,openapi-python-client,0.5096153846,1.0,1.0,1.0,1.0,1.0,851,2
1041,thi-ng,umbrella,0.02225447508,1.0,1.0,1.0,1.0,1.0,11322,2
