cve,file_func_name
CVE-2012-6638,"tcp_rcv_state_process, net/ipv4/tcp_input.c"
CVE-2012-6647,"futex_wait_requeue_pi, kernel/futex.c"
CVE-2012-6657,"sock_setsockopt, net/core/sock.c"
CVE-2012-6689,"netlink_sendmsg, net/netlink/af_netlink.c"
CVE-2012-6696,
CVE-2012-6701,fs/aio.c
CVE-2012-6703,"snd_compr_allocate_buffer, sound/core/compress_offload.c"
CVE-2012-6704,"sock_setsockopt, net/core/sock.c, sk_sndbuf, sk_rcvbuf"
CVE-2012-6712,drivers/net/wireless/iwlwifi/iwl-agn-sta.c
CVE-2013-0211,"archive_write_zip_data, archive_write_set_format_zip.c"
CVE-2013-0216,
CVE-2013-0217,drivers/net/xen-netback/netback.c
CVE-2013-0268,"msr_open, arch/x86/kernel/msr.c"
CVE-2013-0290,"__skb_recv_datagram, net/core/datagram.c, MSG_PEEK"
CVE-2013-0310,"cipso_v4_validate, net/ipv4/cipso_ipv4.c"
CVE-2013-0311,"translate_desc, drivers/vhost/vhost.c"
CVE-2013-0313,"evm_update_evmxattr, security/integrity/evm/evm_crypto.c"
CVE-2013-0349,"hidp_setup_hid, net/bluetooth/hidp/core.c, HIDPCONNADD"
CVE-2013-0844,"adpcm_decode_frame, libavcodec/adpcm.c"
CVE-2013-0845,libavcodec/alsdec.c
CVE-2013-0846,"qdm2_decode_super_block, libavcodec/qdm2.c"
CVE-2013-0848,"decode_init, libavcodec/huffyuv.c"
CVE-2013-0849,"roq_decode_init, libavcodec/roqvideodec.c"
CVE-2013-0850,"decode_slice_header, libavcodec/h264.c"
CVE-2013-0851,"decode_frame, libavcodec/eamad.c"
CVE-2013-0852,"parse_picture_segment, libavcodec/pgssubdec.c"
CVE-2013-0853,"wavpack_decode_frame, libavcodec/wavpack.c"
CVE-2013-0854,"mjpeg_decode_scan_progressive_ac, libavcodec/mjpegdec.c"
CVE-2013-0855,"alac_decode_close, libavcodec/alac.c"
CVE-2013-0856,"lpc_prediction, libavcodec/alac.c"
CVE-2013-0857,"decode_frame_ilbm, libavcodec/iff.c"
CVE-2013-0858,"atrac3_decode_init, libavcodec/atrac3.c"
CVE-2013-0860,"ff_er_frame_end, libavcodec/error_resilience.c"
CVE-2013-0865,"vqa_decode_chunk, libavcodec/vqavideo.c"
CVE-2013-0866,"aac_decode_init, libavcodec/aacdec.c"
CVE-2013-0867,"decode_slice_header, libavcodec/h264.c"
CVE-2013-0868,init_vlc
CVE-2013-0869,"field_end, libavcodec/h264.c"
CVE-2013-0871,ptrace_death
CVE-2013-0873,"read_header, libavcodec/shorten.c"
CVE-2013-0894,"vorbis_parse_setup_hdr_floors, vorbisdec.c"
CVE-2013-0914,"flush_signal_handlers, kernel/signal.c"
CVE-2013-1643,"soap_xmlParseFile, soap_xmlParseMemory"
CVE-2013-1763,"__sock_diag_rcv_msg, net/core/sock_diag.c"
CVE-2013-1767,"shmem_remount_fs, mm/shmem.c"
CVE-2013-1773,
CVE-2013-1774,"chase_port, drivers/usb/serial/io_ti.c"
CVE-2013-1792,"install_user_keyrings, security/keys/process_keys.c"
CVE-2013-1796,"kvm_set_msr_common, arch/x86/kvm/x86.c, MSR_KVM_SYSTEM_TIME"
CVE-2013-1797,"arch/x86/kvm/x86.c, MSR_KVM_SYSTEM_TIME, kvm_set_msr_common"
CVE-2013-1798,"ioapic_read_indirect, virt/kvm/ioapic.c, IOAPIC_REG_SELECT, IOAPIC_REG_WINDOW"
CVE-2013-1819,"_xfs_buf_find, fs/xfs/xfs_buf.c"
CVE-2013-1824,"soap_xmlParseFile, soap_xmlParseMemory"
CVE-2013-1826,"xfrm_state_netlink, net/xfrm/xfrm_user.c, dump_one_state"
CVE-2013-1828,"sctp_getsockopt_assoc_stats, net/sctp/socket.c"
CVE-2013-1830,user/view.php
CVE-2013-1831,lib/setuplib.php
CVE-2013-1832,repository/webdav/lib.php
CVE-2013-1833,
CVE-2013-1834,notes/edit.php
CVE-2013-1835,login_as
CVE-2013-1836,
CVE-2013-1848,fs/ext3/super.c
CVE-2013-1858,"CLONE_NEWUSER, CLONE_FS"
CVE-2013-1860,"wdm_in_callback, drivers/usb/class/cdc-wdm.c"
CVE-2013-1928,"do_video_set_spu_palette, fs/compat_ioctl.c"
CVE-2013-1929,"tg3_read_vpd, drivers/net/ethernet/broadcom/tg3.c"
CVE-2013-1943,"arch/x86/kvm/paging_tmpl.h, virt/kvm/kvm_main.c"
CVE-2013-1956,"create_user_ns, kernel/user_namespace.c"
CVE-2013-1957,"clone_mnt, fs/namespace.c"
CVE-2013-1958,"scm_check_creds, net/core/scm.c"
CVE-2013-1959,"kernel/user_namespace.c, uid_map, gid_map"
CVE-2013-2015,"ext4_orphan_del, fs/ext4/namei.c"
CVE-2013-2016,virtio-rng
CVE-2013-2017,
CVE-2013-2058,"host_start, drivers/usb/chipidea/host.c"
CVE-2013-2061,"openvpn_decrypt, crypto.c"
CVE-2013-2080,core_grade
CVE-2013-2081,
CVE-2013-2082,
CVE-2013-2083,"MoodleQuickForm, lib/formslib.php"
CVE-2013-2094,"perf_swevent_init, kernel/events/core.c"
CVE-2013-2124,inspect-fs.c
CVE-2013-2126,"LibRaw::unpack, libraw_cxx.cpp"
CVE-2013-2127,
CVE-2013-2128,"tcp_read_sock, net/ipv4/tcp.c"
CVE-2013-2130,modules/webadmin.cpp
CVE-2013-2140,"dispatch_discard_io, drivers/block/xen-blkback/blkback.c, BLKIF_OP_DISCARD"
CVE-2013-2141,"do_tkill, kernel/signal.c"
CVE-2013-2146,arch/x86/kernel/cpu/perf_event_intel.c
CVE-2013-2206,"sctp_sf_do_5_2_4_dupcook, net/sctp/sm_statefuns.c"
CVE-2013-2220,radius_get_vendor_attr
CVE-2013-2232,"ip6_sk_dst_check, net/ipv6/ip6_output.c"
CVE-2013-2234,"key_notify_sa_flush, key_notify_policy_flush, net/key/af_key.c"
CVE-2013-2237,"key_notify_policy_flush, net/key/af_key.c"
CVE-2013-2277,"ff_h264_decode_seq_parameter_set, h264_ps.c"
CVE-2013-2495,"iff_read_header, iff.c"
CVE-2013-2496,"msrle_decode_8_16_24_32, msrledec.c"
CVE-2013-2546,
CVE-2013-2547,"crypto_report_one, crypto/crypto_user.c"
CVE-2013-2548,"crypto_report_one, crypto/crypto_user.c"
CVE-2013-2596,"fb_mmap, drivers/video/fbmem.c"
CVE-2013-2634,net/dcb/dcbnl.c
CVE-2013-2635,"rtnl_fill_ifinfo, net/core/rtnetlink.c"
CVE-2013-2636,net/bridge/br_mdb.c
CVE-2013-2850,"iscsi_add_notunderstood_response, drivers/target/iscsi/iscsi_target_parameters.c"
CVE-2013-2929,"kernel/ptrace.c, arch/ia64/include/asm/processor.h"
CVE-2013-2930,"perf_trace_event_perm, kernel/trace/trace_event_perf.c"
CVE-2013-3076,"hash_recvmsg, crypto/algif_hash.c, skcipher_recvmsg, crypto/algif_skcipher.c"
CVE-2013-3222,"vcc_recvmsg, net/atm/common.c"
CVE-2013-3223,"ax25_recvmsg, net/ax25/af_ax25.c"
CVE-2013-3224,"bt_sock_recvmsg, net/bluetooth/af_bluetooth.c"
CVE-2013-3225,"rfcomm_sock_recvmsg, net/bluetooth/rfcomm/sock.c"
CVE-2013-3226,"sco_sock_recvmsg, net/bluetooth/sco.c"
CVE-2013-3227,"caif_seqpkt_recvmsg, net/caif/caif_socket.c"
CVE-2013-3228,"irda_recvmsg_dgram, net/irda/af_irda.c"
CVE-2013-3229,"iucv_sock_recvmsg, net/iucv/af_iucv.c"
CVE-2013-3230,"l2tp_ip6_recvmsg, net/l2tp/l2tp_ip6.c"
CVE-2013-3231,"llc_ui_recvmsg, net/llc/af_llc.c"
CVE-2013-3232,"nr_recvmsg, net/netrom/af_netrom.c"
CVE-2013-3233,"llcp_sock_recvmsg, net/nfc/llcp/sock.c"
CVE-2013-3234,"rose_recvmsg, net/rose/af_rose.c"
CVE-2013-3235,net/tipc/socket.c
CVE-2013-3236,"vmci_transport_dgram_dequeue, net/vmw_vsock/vmci_transport.c"
CVE-2013-3237,"vsock_stream_sendmsg, net/vmw_vsock/af_vsock.c"
CVE-2013-3239,SaveDir
CVE-2013-3301,"set_ftrace_pid, set_graph_function"
CVE-2013-3302,"smb_send_rqst, fs/cifs/transport.c"
CVE-2013-3670,"rle_unpack, vmdav.c"
CVE-2013-3672,"mm_decode_inter, mmvideo.c"
CVE-2013-3674,"cdg_decode_frame, cdgraphics.c"
CVE-2013-3722,lookup.c
CVE-2013-3735,
CVE-2013-3742,view_create.php
CVE-2013-4113,"ext/xml/xml.c, xml_parse_into_struct"
CVE-2013-4118,
CVE-2013-4119,
CVE-2013-4125,"fib6_add_rt2node, net/ipv6/ip6_fib.c"
CVE-2013-4127,"vhost_net_set_backend, drivers/vhost/net.c"
CVE-2013-4129,"net/bridge/br_mdb.c, net/bridge/br_multicast.c"
CVE-2013-4148,"virtio_net_load, hw/net/virtio-net.c"
CVE-2013-4149,"virtio_net_load, net/virtio-net.c"
CVE-2013-4150,"virtio_net_load, hw/net/virtio-net.c, curr_queues, max_queues"
CVE-2013-4151,"virtio_load, virtio/virtio.c"
CVE-2013-4160,"cmsStageAllocLabV2ToV4curves, cmsPipelineDup, cmsAllocProfileSequenceDescription, CurvesAlloc"
CVE-2013-4162,"udp_v6_push_pending_frames, net/ipv6/udp.c, UDP_CORK"
CVE-2013-4163,"ip6_append_data_mtu, net/ipv6/ip6_output.c, IPV6_MTU, UDP_CORK"
CVE-2013-4205,"unshare_userns, kernel/user_namespace.c"
CVE-2013-4220,"bad_mode, arch/arm64/kernel/traps.c"
CVE-2013-4244,
CVE-2013-4247,"build_unc_path_to_root, fs/cifs/connect.c"
CVE-2013-4248,"openssl_x509_parse, openssl.c"
CVE-2013-4254,"validate_event, arch/arm/kernel/perf_event.c"
CVE-2013-4263,
CVE-2013-4264,"kempf_decode_tile, libavcodec/g2meet.c"
CVE-2013-4265,"av_reallocp_array, libavutil/mem.c"
CVE-2013-4270,"net_ctl_permissions, net/sysctl_net.c"
CVE-2013-4299,drivers/md/dm-snap-persistent.c
CVE-2013-4300,"scm_check_creds, net/core/scm.c"
CVE-2013-4312,"net/unix/af_unix.c, net/unix/garbage.c"
CVE-2013-4350,net/sctp/ipv6.c
CVE-2013-4358,libavcodec/h264.c
CVE-2013-4387,"net/ipv6/ip6_output.c, UFO"
CVE-2013-4470,"ip_ufo_append_data, net/ipv4/ip_output.c, ip6_ufo_append_data, net/ipv6/ip6_output.c"
CVE-2013-4483,"ipc_rcu_putref, ipc/util.c"
CVE-2013-4511,"au1100fb_fb_mmap, drivers/video/au1100fb.c, au1200fb_fb_mmap, drivers/video/au1200fb.c"
CVE-2013-4512,"exitcode_proc_write, arch/um/kernel/exitcode.c"
CVE-2013-4513,"oz_cdev_write, drivers/staging/ozwpan/ozcdev.c"
CVE-2013-4514,"wvlan_uil_put_info, wvlan_set_station_nickname, drivers/staging/wlags49_h2/wl_priv.c"
CVE-2013-4515,"bcm_char_ioctl, drivers/staging/bcm/Bcmchar.c"
CVE-2013-4516,"mp_get_count, drivers/staging/sb105x/sb_pci_mp.c"
CVE-2013-4526,hw/ide/ahci.c
CVE-2013-4527,hw/timer/hpet.c
CVE-2013-4530,"hw/ssi/pl022.c, tx_fifo_head, rx_fifo_head"
CVE-2013-4531,"cpreg_vmstate_array_len, target-arm/machine.c"
CVE-2013-4532,
CVE-2013-4533,"pxa2xx_ssp_load, hw/arm/pxa2xx.c, s->rx_level"
CVE-2013-4534,"hw/intc/openpic.c, IRQDest"
CVE-2013-4535,"virtqueue_map_sg, hw/virtio/virtio.c"
CVE-2013-4537,"ssi_sd_transfer, hw/sd/ssi-sd.c"
CVE-2013-4538,"ssd0323_load, hw/display/ssd0323.c"
CVE-2013-4539,"tsc210x_load, hw/input/tsc210x.c"
CVE-2013-4540,scoop_gpio_handler_update
CVE-2013-4541,"usb_device_post_load, hw/usb/bus.c"
CVE-2013-4542,"virtio_scsi_load_request, hw/scsi/scsi-bus.c"
CVE-2013-4544,hw/net/vmxnet3.c
CVE-2013-4563,"udp6_ufo_fragment, net/ipv6/udp_offload.c"
CVE-2013-4587,"kvm_vm_ioctl_create_vcpu, virt/kvm/kvm_main.c"
